iter	Passed	Remaining
0	2	245
1	4	219
2	6	210
3	8	206
4	10	203
5	12	198
6	14	194
7	16	192
8	18	188
9	20	186
10	22	183
11	24	181
12	27	183
13	29	181
14	31	178
15	33	175
16	35	173
17	37	171
18	39	169
19	41	167
20	44	166
21	46	164
22	48	162
23	50	160
24	52	158
25	54	155
26	56	153
27	59	151
28	60	149
29	62	146
30	64	144
31	66	141
32	68	138
33	70	136
34	72	134
35	74	132
36	76	129
37	78	127
38	80	125
39	82	123
40	83	120
41	85	117
42	86	115
43	88	112
44	90	110
45	91	107
46	93	105
47	95	103
48	96	100
49	98	98
50	100	96
51	101	93
52	103	91
53	104	89
54	106	87
55	108	85
56	110	83
57	111	80
58	113	78
59	114	76
60	116	74
61	118	72
62	119	70
63	121	68
64	123	66
65	124	64
66	126	62
67	127	60
68	129	58
69	131	56
70	132	54
71	134	52
72	135	50
73	137	48
74	139	46
75	141	44
76	142	42
77	144	40
78	145	38
79	147	36
80	148	34
81	150	33
82	152	31
83	153	29
84	155	27
85	157	25
86	159	23
87	161	21
88	162	20
89	164	18
90	165	16
91	167	14
92	169	12
93	171	10
94	173	9
95	175	7
96	177	5
97	178	3
98	180	1
99	182	0
